index,clip,side_auto,rp_auto,dir_auto,st_auto,down,distance,gained_yards,phase,auto_outcome,notes_auto,side_fix,rp_fix,dir_fix,st_fix,down_fix,distance_fix,gained_yards_fix,exclude,notes_fix
1,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 001.mp4,offense,pass,right,,,,0,unknown,positive,,,,,,,,,y,junk
2,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 002.mp4,offense,pass,right,,,,0,unknown,positive,,,,,return,,,,,
3,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 003.mp4,offense,pass,left,,,,0,unknown,positive,,,run,right,,first,ten,three,,
4,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 004.mp4,offense,pass,left,,,,0,unknown,positive,,,,,,,,,y,presnap penalty
5,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 005.mp4,offense,run,unknown,,,,0,unknown,positive,,,pass,right,,third,five,none,,incomplete pass; go route right to #27
6,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 006.mp4,offense,run,unknown,,,,0,unknown,positive,,,pass,right,,fourth,five,three,n,
7,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 007.mp4,defense,pass,right,,,,0,unknown,positive,,,run,right,,first,ten,twenty-seven,,tailback c gap with receiver in motion lead blocking
8,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 008.mp4,defense,pass,right,,,,0,unknown,positive,,,run,right,,first,ten,sixteen,,tailback b gap
9,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 009.mp4,defense,pass,right,,,,0,unknown,positive,,,run,left,,first,ten,thirteen,,inside right receiver jet sweep touchdown called back holding
10,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 010.mp4,defense,pass,left,,,,0,unknown,positive,,,run,right,,first,twenty,six,,tailback b gap
11,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 011.mp4,offense,pass,right,,,,0,unknown,positive,,,run,right,,second,sixteen,three,,tailback b gap
12,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 012.mp4,offense,pass,right,,,,0,unknown,positive,,,run,left,,third,thirteen,eight,,inside right receiver jet sweep; block in the back
13,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 013.mp4,offense,pass,right,,,,0,unknown,positive,,,run,right,,fourth,ten,three,,tailback b gap
14,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 014.mp4,offense,run,unknown,,,,0,unknown,positive,,,pass,right,,first,ten,two,n,QB sneak a gap
15,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 015.mp4,offense,pass,right,,,,0,unknown,positive,,,,,,second,eight,,y,presnap penalty
16,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 016.mp4,defense,pass,right,,,,0,unknown,positive,,,,,,second,three,six,,"inside receiver ran 5 yard out, complete"
17,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 017.mp4,offense,pass,left,,,,0,unknown,positive,,,run,,,first,ten,one,,QB keeper
18,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 018.mp4,offense,pass,left,,,,0,unknown,positive,,,run,left,,second,nine,one,,tailback b gap
19,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 019.mp4,offense,pass,left,,,,0,unknown,positive,,,run,left,,third,eight,loss of three,,tailback b gap
20,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 020.mp4,defense,run,left,,,,0,unknown,positive,,offense,,,punt,fourth,eleven,turnover on downs,,bad snap
21,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 021.mp4,offense,pass,right,,,,0,unknown,positive,,defense,run,left,,first,ten,twenty,,inside right receiver jet sweep touchdown
22,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 022.mp4,offense,pass,left,,,,0,unknown,positive,,defense,,,xp,,,,,good
23,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 023.mp4,offense,pass,right,,,,0,unknown,positive,,,,,return,,,,,
24,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 024.mp4,offense,pass,left,,,,0,unknown,positive,,,run,left,,first,ten,three,,tailback b gap
25,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 025.mp4,defense,pass,left,,,,0,unknown,positive,,offense,,,,second,seven,seventeen,,"inside left receiver ran 5 yard out, complete"
26,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 026.mp4,offense,pass,right,,,,0,unknown,neutral,,,,left,,first,ten,seven,,quick screen to outside left receiver
27,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 027.mp4,defense,run,right,,,,0,unknown,neutral,,offense,run,left,,second,four,seven,,tailback b gap
28,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 028.mp4,offense,pass,left,,,,0,unknown,positive,,,run,right,,first,ten,loss of one,,QB keeper
29,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 029.mp4,offense,pass,right,,,,0,unknown,positive,,,,left,,second,ten,twenty,,"outside left ran go route, complete"
30,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 030.mp4,offense,pass,right,,,,0,unknown,neutral,,,run,left,,first,ten,one,,tailback b gap
31,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 031.mp4,offense,pass,right,,,,0,unknown,positive,,defense,,left,,first,ten,eighty,,"tailback flare left, complete"
32,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 032.mp4,offense,run,unknown,,,,0,unknown,positive,,defense,,,xp,,,,,good
33,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 033.mp4,defense,pass,unknown,,,,0,unknown,positive,,,,,return,,,,,
34,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 034.mp4,offense,pass,unknown,,,,0,unknown,neutral,,,pass,left,,first,ten,turnover,,"outside left ran go route, interception"
35,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 035.mp4,defense,run,unknown,,,,0,unknown,neutral,,,,,kickoff,,,,,
36,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 036.mp4,defense,run,right,,,,0,unknown,positive,,,pass,left,,first,ten,thirty,n,tailback b gap
37,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 037.mp4,offense,pass,right,,,,0,unknown,neutral,,defense,run,right,,first,ten,four,,tailback b gap
38,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 038.mp4,defense,pass,left,,,,0,unknown,positive,,,run,right,,second,six,five,,tailback b gap
39,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 039.mp4,offense,pass,unknown,,,,0,unknown,neutral,,defense,run,right,,third,one,zero,,tailback b gap
40,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 040.mp4,defense,pass,unknown,,,,0,unknown,positive,,,run,left,,fourth,one,fifteen,,fullback a gap
41,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 041.mp4,offense,run,left,,,,0,unknown,positive,,defense,,,xp,,,,,no good
42,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 042.mp4,offense,pass,unknown,,,,0,unknown,positive,,,,,return,,,,,
43,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 043.mp4,offense,run,unknown,,,,0,unknown,positive,,,pass,left,,first,ten,none,,"inside left receiver 5 yard out, incomplete"
44,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 044.mp4,defense,pass,unknown,,,,0,unknown,neutral,,offense,run,left,,second,ten,none,,"splitback counter, faking b gap tailback"
45,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 045.mp4,defense,pass,right,,,,0,unknown,positive,,offense,pass,left,,third,ten,none,,"outside left receiver go route, incomplete"
46,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 046.mp4,offense,pass,unknown,,,,0,unknown,positive,,offense,pass,left,,fourth,ten,none,,"outside left receiver go route, incomplete"
