clip,clip_filename,clip_relpath,file_url,http_rel_link,down,to_go,yards,side,rp,dir,phase,notes,exclude
2,clip_002.mp4,clips/clip_002.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 002.mp4,./clips/clip_002.mp4,,,0,offense,pass,right,unknown,,
3,clip_003.mp4,clips/clip_003.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 003.mp4,./clips/clip_003.mp4,1,10,3,offense,run,right,unknown,,
5,clip_005.mp4,clips/clip_005.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 005.mp4,./clips/clip_005.mp4,3,5,0,offense,pass,right,unknown,incomplete pass; go route right to #27,
6,clip_006.mp4,clips/clip_006.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 006.mp4,./clips/clip_006.mp4,4,5,3,offense,pass,right,unknown,,n
7,clip_007.mp4,clips/clip_007.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 007.mp4,./clips/clip_007.mp4,1,10,27,defense,run,right,unknown,tailback c gap with receiver in motion lead blocking,
8,clip_008.mp4,clips/clip_008.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 008.mp4,./clips/clip_008.mp4,1,10,16,defense,run,right,unknown,tailback b gap,
9,clip_009.mp4,clips/clip_009.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 009.mp4,./clips/clip_009.mp4,1,10,13,defense,run,left,unknown,inside right receiver jet sweep touchdown called back holding,
10,clip_010.mp4,clips/clip_010.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 010.mp4,./clips/clip_010.mp4,1,20,6,defense,run,right,unknown,tailback b gap,
11,clip_011.mp4,clips/clip_011.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 011.mp4,./clips/clip_011.mp4,2,16,3,offense,run,right,unknown,tailback b gap,
12,clip_012.mp4,clips/clip_012.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 012.mp4,./clips/clip_012.mp4,3,13,8,offense,run,left,unknown,inside right receiver jet sweep; block in the back,
13,clip_013.mp4,clips/clip_013.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 013.mp4,./clips/clip_013.mp4,4,10,3,offense,run,right,unknown,tailback b gap,
14,clip_014.mp4,clips/clip_014.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 014.mp4,./clips/clip_014.mp4,1,10,2,offense,pass,right,unknown,QB sneak a gap,n
16,clip_016.mp4,clips/clip_016.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 016.mp4,./clips/clip_016.mp4,2,3,6,defense,pass,right,unknown,"inside receiver ran 5 yard out, complete",
17,clip_017.mp4,clips/clip_017.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 017.mp4,./clips/clip_017.mp4,1,10,1,offense,run,left,unknown,QB keeper,
18,clip_018.mp4,clips/clip_018.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 018.mp4,./clips/clip_018.mp4,2,9,1,offense,run,left,unknown,tailback b gap,
19,clip_019.mp4,clips/clip_019.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 019.mp4,./clips/clip_019.mp4,3,10,0,offense,run,left,unknown,tailback b gap,
20,clip_020.mp4,clips/clip_020.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 020.mp4,./clips/clip_020.mp4,4,11,0,offense,run,left,unknown,bad snap,
21,clip_021.mp4,clips/clip_021.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 021.mp4,./clips/clip_021.mp4,1,10,20,defense,run,left,unknown,inside right receiver jet sweep touchdown,
22,clip_022.mp4,clips/clip_022.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 022.mp4,./clips/clip_022.mp4,,,0,defense,pass,left,unknown,good,
23,clip_023.mp4,clips/clip_023.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 023.mp4,./clips/clip_023.mp4,,,0,offense,pass,right,unknown,,
24,clip_024.mp4,clips/clip_024.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 024.mp4,./clips/clip_024.mp4,1,10,3,offense,run,left,unknown,tailback b gap,
25,clip_025.mp4,clips/clip_025.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 025.mp4,./clips/clip_025.mp4,2,7,17,offense,pass,left,unknown,"inside left receiver ran 5 yard out, complete",
26,clip_026.mp4,clips/clip_026.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 026.mp4,./clips/clip_026.mp4,1,10,7,offense,pass,left,unknown,quick screen to outside left receiver,
27,clip_027.mp4,clips/clip_027.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 027.mp4,./clips/clip_027.mp4,2,4,7,offense,run,left,unknown,tailback b gap,
28,clip_028.mp4,clips/clip_028.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 028.mp4,./clips/clip_028.mp4,1,10,0,offense,run,right,unknown,QB keeper,
29,clip_029.mp4,clips/clip_029.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 029.mp4,./clips/clip_029.mp4,2,10,20,offense,pass,left,unknown,"outside left ran go route, complete",
30,clip_030.mp4,clips/clip_030.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 030.mp4,./clips/clip_030.mp4,1,10,1,offense,run,left,unknown,tailback b gap,
31,clip_031.mp4,clips/clip_031.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 031.mp4,./clips/clip_031.mp4,1,10,0,defense,pass,left,unknown,"tailback flare left, complete",
32,clip_032.mp4,clips/clip_032.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 032.mp4,./clips/clip_032.mp4,,,0,defense,run,unknown,unknown,good,
33,clip_033.mp4,clips/clip_033.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 033.mp4,./clips/clip_033.mp4,,,0,defense,pass,unknown,unknown,,
34,clip_034.mp4,clips/clip_034.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 034.mp4,./clips/clip_034.mp4,1,10,0,offense,pass,left,unknown,"outside left ran go route, interception",
35,clip_035.mp4,clips/clip_035.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 035.mp4,./clips/clip_035.mp4,,,0,defense,run,unknown,unknown,,
36,clip_036.mp4,clips/clip_036.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 036.mp4,./clips/clip_036.mp4,1,10,0,defense,pass,left,unknown,tailback b gap,n
37,clip_037.mp4,clips/clip_037.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 037.mp4,./clips/clip_037.mp4,1,10,4,defense,run,right,unknown,tailback b gap,
38,clip_038.mp4,clips/clip_038.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 038.mp4,./clips/clip_038.mp4,2,6,5,defense,run,right,unknown,tailback b gap,
