2025/09/06 08:00:31 INFO  : 20250905_142719.mkv: Copied (new)
2025/09/06 08:00:32 INFO  : 20250905_143001.ts: Copied (new)
2025/09/06 08:00:32 INFO  : 20250905_140408.mkv: Copied (new)
2025/09/06 08:00:33 INFO  : 20250905_174511.mkv: Copied (new)
2025/09/06 08:00:34 INFO  : 20250905_174922.ts: Copied (new)
2025/09/06 08:00:35 INFO  : 20250905_142809.ts: Copied (new)
2025/09/06 08:00:36 INFO  : 20250905_174824.mkv: Copied (new)
2025/09/06 08:00:36 INFO  : 20250905_183432.ts: Copied (new)
2025/09/06 08:00:36 INFO  : 20250905_173707.mkv: Copied (new)
2025/09/06 08:00:36 INFO  : 20250905_183337.mkv: Copied (new)
2025/09/06 08:00:37 INFO  : 20250905_183900.ts: Copied (new)
2025/09/06 08:00:37 INFO  : 20250905_191245.mkv: Copied (new)
2025/09/06 08:00:38 INFO  : 20250905_191314.ts: Copied (new)
2025/09/06 08:00:38 INFO  : 20250905_191608.ts: Copied (new)
2025/09/06 08:00:39 INFO  : 20250905_191540.mkv: Copied (new)
2025/09/06 08:00:39 INFO  : 20250905_183640.mkv: Copied (new)
2025/09/06 08:00:41 INFO  : 20250905_200303.mkv: Copied (new)
2025/09/06 08:00:55 INFO  : 20250905_194500.mkv: Copied (new)
2025/09/06 08:00:55 INFO  : 20250905_191832.mkv: Copied (new)
2025/09/06 08:00:57 INFO  : 20250905_193000.mkv: Copied (new)
2025/09/06 08:01:34 INFO  : 20250905_201500.ts: Copied (new)
2025/09/06 08:01:34 INFO  : 20250905_204500.ts: Copied (new)
2025/09/06 08:01:35 INFO  : 20250905_203000.ts: Copied (new)
2025/09/06 08:02:04 INFO  : 20250905_200343.ts: Copied (new)
2025/09/06 08:02:50 INFO  : 20250905_214500.ts: Copied (new)
2025/09/06 08:03:27 INFO  : 20250905_220000.ts: Copied (new)
2025/09/06 08:03:35 INFO  : 20250905_210000.ts: Copied (new)
2025/09/06 08:03:35 INFO  : 20250905_211500.ts: Copied (new)
2025/09/06 08:04:02 INFO  : 20250905_213000.ts: Copied (new)
2025/09/06 08:04:06 INFO  : 20250905_221500.ts: Copied (new)
2025/09/06 08:04:07 INFO  : 20250905_223000.ts: Copied (new)
2025/09/06 08:04:41 INFO  : 20250905_231500.ts: Copied (new)
2025/09/06 08:04:41 INFO  : 20250905_230000.ts: Copied (new)
2025/09/06 08:04:43 INFO  : 20250905_233000.ts: Copied (new)
2025/09/06 08:05:24 INFO  : 20250905_234501.ts: Copied (new)
2025/09/06 08:05:41 INFO  : 20250906_001500.ts: Copied (new)
2025/09/06 08:06:06 INFO  : 20250906_003000.ts: Copied (new)
2025/09/06 08:06:28 INFO  : 20250906_000001.ts: Copied (new)
2025/09/06 08:06:49 INFO  : 20250906_010000.ts: Copied (new)
2025/09/06 08:07:04 INFO  : 20250906_011500.ts: Copied (new)
2025/09/06 08:07:26 INFO  : 20250906_013000.ts: Copied (new)
2025/09/06 08:07:32 INFO  : 20250905_224500.ts: Copied (new)
2025/09/06 08:07:43 INFO  : 20250906_014500.ts: Copied (new)
2025/09/06 08:08:07 INFO  : 20250906_020000.ts: Copied (new)
2025/09/06 08:09:03 INFO  : 20250906_024501.ts: Copied (new)
2025/09/06 08:09:42 INFO  : 20250906_021501.ts: Copied (new)
2025/09/06 08:09:45 INFO  : 20250906_071009.mkv: Copied (new)
2025/09/06 08:09:59 INFO  : 20250906_071049.ts: Copied (new)
2025/09/06 08:10:05 INFO  : 20250906_023001.ts: Copied (new)
2025/09/06 08:10:05 INFO  : 20250906_030000.ts: Copied (new)
2025/09/06 08:10:06 INFO  : 20250906_004506.ts: Copied (new)
2025/09/06 08:10:06 INFO  : 
Transferred:   	   17.107 GiB / 17.107 GiB, 100%, 28.130 MiB/s, ETA 0s
Checks:                 0 / 0, -, Listed 51
Transferred:           51 / 51, 100%
Elapsed time:      9m38.6s

